customer_id,first_name,last_name,email,phone,city,state,zip_code,loyalty_tier,signup_date,age,gender
C0081,Andre,Taylor,andre.taylor22@gmail.com,,Smyrna,ga,30299,Gold,2023-07-22,-5,Male
C0173,Keisha,Lewis,,4067058222,Decatur,Ga.,31118,Silver,2024-04-27,67,M
C0020,DeShawn,Martin,deshawn.martin6@gmail.com,5703194789,Decatur,Ga.,30229,Bronze,2024-12-08,,MALE
C0075,Monica,White,monica.white36@icloud.com,,Atlanta,Georgia ,314381X,Gold,2023-12-14,40,Male
C0200,Monica,Robinson,monica.robinson37@outlook.com,(521) 260-9202,Sandy Springs,Georgia ,318043X,Bronze,2024-03-13,0,Non-Binary
C0149,Marcus,Thompson,marcus.thompson39@gmail.com,,Sandy Springs,ga,31760,Silver,2023-11-04,-5,N/A
C0191,Tyler,Taylor,tyler.taylor13@yahoo.com,7365045872,Atlanta,Georgia,31718,Silver,2023-06-30,-5,f
C0123,Andre,Thomas,andre.thomas97@yahoo.com,+14897802999,Roswell,GA,3685,Platinum,2023-11-28,33,m
C0126,DeShawn,Martinez,deshawn.martinez91@outlook.com,(439) 288-2551,Smyrna,Georgia ,31065,Platinum,2023-04-30,,N/A
C0017,Tyler,Clark,tyler.clark34@yahoo.com,742-627-1130,Alpharetta,Ga.,31902,Bronze,2023-01-10,-5,FEMALE
C0104,Rachel,Harris,rachel.harris93@hotmail.com,+16697891998,Marietta,Georgia,31392,Gold,2023-05-12,-5,Non-Binary
C0014,Maria,Robinson,maria.robinson12@yahoo.com,+14857818496,Dunwoody,Georgia,31770,Platinum,2023-09-29,999,m
C0015,Stephanie,Robinson,stephanie.robinson63@yahoo.com,497-597-7931,Atlanta,Georgia ,30117,Bronze,2024-08-21,-5,MALE
C0141,Carlos,Taylor,carlos.taylor68@outlook.com,+15815484964,Marietta,ga,31427,Silver,2023-11-04,61,Non-Binary
C0156,Linda,Jackson,linda.jackson60@yahoo.com,607-409-4587,Sandy Springs,Ga.,30879,Platinum,2023-01-05,,Female
C0119,Keisha,Moore,keisha.moore69@outlook.com,687-555-7052,Marietta,Georgia ,31371,Silver,2024-10-15,32,F
C0099,David,White,david.white94@outlook.com,7148297090,Atlanta,GA,31640,Silver,2023-02-01,-5,Non-Binary
C0027,Tyler,Lewis,tyler.lewis60@hotmail.com,,Dunwoody,Georgia,31296,Gold,2023-04-06,,Non-Binary
C0132,Andre,Taylor,andre.taylor19@icloud.com,5137938388,Alpharetta,GA,31866,Silver,2024-10-03,999,MALE
C0124,Michael,Taylor,michael.taylor35@outlook.com,5541191859,Roswell,Georgia,30327,Platinum,2024-12-03,0,N/A
C0001,Ashley,Johnson,ashley.johnson32@yahoo.com,,Marietta,Georgia ,3032,Bronze,2024-07-28,-5,male
C0010,Carlos,Miller,carlos.miller71@yahoo.com,,Sandy Springs,Georgia,30817,Gold,2024-03-24,-5,female
C0062,Jennifer,Taylor,jennifer.taylor80@outlook.com,(747) 329-4774,Atlanta,ga,31499,Silver,2023-04-03,0,N/A
C0090,Keisha,White,keisha.white14@icloud.com,(463) 578-2563,Decatur,ga,,Bronze,2023-08-16,999,f
C0073,Kevin,White,kevin.white88@hotmail.com,(434) 253-0497,Marietta,Ga.,31139,Bronze,2024-08-23,-5,f
C0006,David,Miller,david.miller32@icloud.com,,Sandy Springs,Georgia ,30283,Platinum,2023-04-04,66,F
C0060,Kevin,Johnson,kevin.johnson60@outlook.com,(746) 365-0391,Dunwoody,ga,30935,Gold,2023-07-23,999,F
C0041,DeShawn,Taylor,deshawn.taylor63@icloud.com,+17885031966,Dunwoody,Ga.,30828,Silver,2023-11-10,-5,f
C0093,Rachel,Davis,,(614) 866-9093,Marietta,Ga.,31177,Silver,2023-05-28,999,M
C0110,Andre,Moore,andre.moore64@icloud.com,6399367799,Dunwoody,GA,31979,Silver,2023-08-09,0,M
C0146,Carlos,Harris,carlos.harris14@gmail.com,+14026171869,Roswell,ga,,Platinum,2023-04-16,19,f
C0056,Andre,Garcia,andre.garcia49@hotmail.com,+17393551903,Atlanta,Georgia,30205,Platinum,2023-04-13,999,M
C0135,Kevin,Harris,kevin.harris78@gmail.com,,Smyrna,Ga.,31861,Bronze,2023-08-05,30,N/A
C0032,Stephanie,Williams,stephanie.williams54@hotmail.com,,Sandy Springs,Ga.,30798,Platinum,2024-07-05,-5,
C0144,Tyler,Harris,tyler.harris70@outlook.com,(596) 334-7981,Roswell,GA,30697,Platinum,2023-12-01,0,
C0103,Jennifer,Martinez,jennifer.martinez26@yahoo.com,(521) 928-8312,Roswell,Georgia ,31129,Silver,2024-09-18,74,F
C0185,Ashley,Brown,ashley.brown88@outlook.com,760-167-6621,Roswell,Georgia,30811,Bronze,2024-11-24,0,Male
C0070,Carlos,Martin,carlos.martin96@gmail.com,6438520810,Marietta,Ga.,31861,Gold,2024-04-14,59,M
C0169,David,Johnson,,+15753023227,Decatur,Ga.,30145,Bronze,2023-11-17,0,Male
C0157,Kevin,Brown,kevin.brown69@yahoo.com,587-646-9119,Dunwoody,GA,31308,Gold,2024-09-03,-5,male
C0049,Michael,Anderson,michael.anderson64@hotmail.com,+14411668752,Roswell,Georgia ,31380,Bronze,2024-11-19,0,FEMALE
C0047,James,Martin,james.martin77@hotmail.com,549-154-7605,Alpharetta,ga,3880,Gold,2024-10-02,,male
C0085,Jennifer,White,jennifer.white50@hotmail.com,,Atlanta,ga,30791,Gold,2023-09-16,-5,Male
C0117,David,Robinson,david.robinson46@outlook.com,712-912-3194,Smyrna,ga,30609,Gold,2024-12-22,999,f
C0046,Rachel,Clark,rachel.clark40@icloud.com,,Marietta,Georgia,30321,Silver,2023-06-27,53,Male
C0064,Tanya,Harris,tanya.harris72@outlook.com,(446) 761-9862,Alpharetta,Georgia ,31376,Gold,2024-08-21,0,F
C0086,Andre,Brown,andre.brown19@outlook.com,558-757-5963,Marietta,ga,31372,Bronze,2024-10-23,999,MALE
C0094,Amber,White,amber.white54@yahoo.com,,Roswell,GA,31039,Bronze,2024-02-04,999,M
C0183,Ashley,Martinez,ashley.martinez51@gmail.com,+17032044933,Decatur,Georgia,30804,Gold,2023-11-22,0,Female
C0194,Carlos,Davis,carlos.davis47@gmail.com,,Marietta,ga,31499,Platinum,2024-10-16,0,Male
C0097,Marcus,Thomas,marcus.thomas7@outlook.com,5393088344,Sandy Springs,Ga.,30382,Platinum,2024-12-09,0,
C0155,Keisha,Davis,keisha.davis90@hotmail.com,5632126998,Atlanta,GA,31386,Silver,2023-09-07,,MALE
C0087,Jennifer,Johnson,jennifer.johnson24@yahoo.com,574-915-8272,Smyrna,Georgia,30207,Bronze,2024-11-08,-5,Male
C0079,Keisha,Martin,keisha.martin49@icloud.com,,Roswell,GA,30941,Bronze,2023-11-17,999,FEMALE
C0002,Tanya,Thompson,tanya.thompson1@yahoo.com,7578090293,Alpharetta,Georgia,,Bronze,2024-01-03,0,FEMALE
C0037,James,Thomas,james.thomas49@hotmail.com,(766) 432-7421,Smyrna,GA,31229,Bronze,2024-08-02,68,f
C0076,Carlos,Clark,carlos.clark9@yahoo.com,(779) 151-4340,Smyrna,Ga.,315585X,Gold,2024-08-04,56,M
C0121,Monica,Williams,monica.williams23@hotmail.com,+14901609681,Dunwoody,Georgia,30018,Gold,2024-08-04,56,f
